feature,mean_abs_shap
epss_score_max,0.6419091940239536
attack_surface_score,0.12804288906967629
weighted_risk_index,0.09573185499752426
composite_vulnerability_score,0.06390333627927469
vuln_count,0.02962447047479654
is_exploitable_max,0.0065996027667075356
exploit_count_sum,0.0061093895034748154
epss_score_mean,0.0034585470433870823
kev_flag_sum,0.0016953715379757338
cvss_score_mean,0.0015843189952895046
is_exploitable_sum,0.0012655714530963422
kev_flag_max,0.0009134754424332641
is_critical_sum,0.0008419525292512852
cvss_score_max,0.0007100559051134026
recent_threat_score,0.0005817998725397032
days_since_published_max,4.123699599877e-05
is_critical_max,1.505166853312405e-05
vulnerability_age,0.0
days_since_published_min,0.0
risk_exploit_product_max,0.0
epss_exploit_count_interaction,0.0
risk_exploit_product_mean,0.0
sev_count_low,0.0
